	GC-pop-S1_0	GC-pop-S2_0	GC-pop-S3_0	invitro-pop-S1_0	invitro-pop-S2_0	invitro-pop-S3_0	invivo-pop-S1_0	invivo-pop-S2_0	invivo-pop-S3_0	NAIVE-pop-S1_0	NAIVE-pop-S2_0	NAIVE-pop-S3_0
C14orf1	5.57561933986505	5.02683039046504	4.76307243570507	4.75522144745961	5.02683039046504	5.46934320169311	5.65658473715948	6.2454180668095	5.51414877988506	4.28157977010661	4.54192215814795	3.48759949433808
SF3B14	6.60291731886646	6.2121136390989	6.47608432728132	6.23514279913395	6.33981158633619	5.97871988684277	6.59618135393544	6.84410692264881	6.78469852369951	5.5440259913015	5.19713457959613	6.4016898943591
KIAA0141	3.36572086025867	3.11152031972586	2.87732634409022	2.30295402866753	1.26851705604071	2.62563333242514	2.87732634409022	2.92116513511901	3.00747200955627	2.71278319460055	3.57396168543846	1.26851705604071
KIAA1841	2.66209841614383	1.65831974556078	2.37457388479925	1.24603739843614	1.91201534883867	1.26851705604071	2.1970718423639	2.92116513511901	3.00747200955627	1.65831974556078	1.58928020130354	1.26851705604071
C17orf49	3.96444687691946	3.84089170845666	3.569662681857	4.50830761708455	3.99440750800946	4.23551981732975	3.99440750800946	5.14045307911431	4.67189649942479	4.6609218415034	4.12801848819083	4.92690439715336
C16orf13	3.36572086025867	3.96200643454741	3.569662681857	3.87225496903037	3.99440750800946	3.733475675834	2.87732634409022	3.569662681857	3.20965001532237	3.20965001532237	3.72869711091662	3.77478526812145
LOC152217	2.92116513511901	3.54293875607366	2.93408650389528	3.87225496903037	3.99440750800946	3.87225496903037	4.31545689652382	4.2953883596332	3.86661459989005	3.57396168543846	2.02594977329521	3.23066372635374
C2orf68	3.54293875607366	4.27373971060784	4.18311603037474	3.12048798855515	3.569662681857	3.23066372635374	3.569662681857	3.99440750800946	4.03850990482812	5.05310998803597	4.46588262494982	4.28157977010661
C1orf85	4.88967571482122	4.86394754389259	4.73543806698731	5.45633343252006	5.45868739131777	4.40956084732059	5.08271999676318	4.71706564544672	5.2235112667351	5.88781133136355	5.78710862492006	5.00350640658388
C1orf123	3.11152031972586	1.65831974556078	3.07266254103253	3.23066372635374	1.91201534883867	1.77426711732946	3.20965001532237	3.569662681857	2.50937811950592	3.36572086025867	3.18118094493278	3.59620392835603
LOC645638	1.2539361300827	1.65831974556078	1.24603739843614	7.20968142794205	7.37890444136141	6.72329299086867	1.30831046809148	1.63777263072262	1.24603739843614	1.91201534883867	2.81270449176716	1.26851705604071
LOC100505876	2.17374472129307	1.65831974556078	1.26851705604071	2.71278319460055	3.569662681857	2.87732634409022	2.1970718423639	3.569662681857	3.00747200955627	2.13860365812969	1.24603739843614	2.90037817646403
C7orf55	2.17374472129307	3.34927846106101	3.36572086025867	3.60299213262624	2.94915634846485	3.23066372635374	4.31545689652382	4.71706564544672	3.00747200955627	3.20965001532237	2.30295402866753	3.77478526812145
C21orf59	1.65831974556078	1.65831974556078	2.13860365812969	2.92116513511901	1.91201534883867	2.87732634409022	3.569662681857	2.92116513511901	3.42524560316009	1.65831974556078	1.58928020130354	1.73705713687184
C11orf58	5.69361964699918	5.86592642860133	5.58241324881956	6.05855578669022	6.12567702227361	5.74201134229182	6.0860427685311	6.06610414900549	6.25109105407391	5.36172545382834	6.05766566999006	5.29040116502368
C9orf89	1.2539361300827	1.65831974556078	2.37457388479925	1.77426711732946	1.26851705604071	2.1970718423639	1.30831046809148	1.63777263072262	1.63777263072262	2.71278319460055	2.30295402866753	2.17374472129307
C20orf24	1.65831974556078	1.24603739843614	1.63777263072262	1.77426711732946	2.78715030080066	1.26851705604071	3.569662681857	1.63777263072262	2.13860365812969	2.13860365812969	1.24603739843614	1.73705713687184
C12orf52	2.17374472129307	1.65831974556078	1.26851705604071	1.77426711732946	1.26851705604071	2.87732634409022	1.30831046809148	1.63777263072262	1.63777263072262	2.13860365812969	2.30295402866753	1.26851705604071
KIAA0391	2.66209841614383	1.24603739843614	2.37457388479925	2.13860365812969	1.26851705604071	2.1970718423639	2.1970718423639	3.99440750800946	1.63777263072262	1.65831974556078	1.24603739843614	1.26851705604071
C9orf16	1.65831974556078	3.34927846106101	2.37457388479925	2.92116513511901	2.94915634846485	3.59620392835603	3.569662681857	3.99440750800946	3.569662681857	4.28157977010661	2.81270449176716	4.58481746383144
